address,price,sqft,acres,ben,stow,framingham,boston,daysonmarket,firplaces,garage,taxes
1,369900,   2100,    3.11,35,  9,   20,  47,  134, 2,   1, 6498
2,244900,   2110,    .94, 37,    12,    26,  51,  57,  2,   2, 3889

4,231000,   1365,    1.59,    38,  12,  26,  53,78,  1,   0, 5048
5,339900,   1782,    1.0,   38,  12,  26,  52,10,  2,   0, 5556



  


12,225000,  1774,   .4,     43, 9, 23, 74, 0, 1, 0, 5820
13,359900, 1260,   .32,    32, 15, 35, 59, 55, 1, 1, 4438

15, 189900, 1248, 2.05, 41, 32, 46, 58, 49, 0, 0, 3940
16, 369900, 1324, 1.3, 33, 2, 26, 53, 10, 1, 1, 6086
17, 359900, 1536, 1.73, 35, 4, 28, 49, 136, 1, 1, 5950
18, 392000, 2148, 1.1, 35, 2, 26, 54, 130, 2, 1, 7201
19, 309900, 1545, 1.25, 37, 6, 28, 48, 132, 1, 1, 6030
20, 395000, 1700, 1.67, 27, 15, 31, 49, 115, 1, 2, 5492
21, 399900, 1850, 1.74, 23, 14, 28, 47, 35, 1, 2, 6306
22, 359900, 3005, 1.84, 35, 12, 21, 48, 14, 0, 1, 4582
23, 359900, 2808, 1.05, 33, 19, 33, 54, 62, 1, 2, 5189
